id,match,cote_1,cote_N,cote_2,somme_probabilites,marge_%,trj_%,prob_1_%,prob_N_%,prob_2_%
73398338,,1.82,3.8,3.7,1.0828787144576617,8.29,92.35,50.7,24.3,25.0
73398342,,3.15,3.5,2.05,1.0909794812233837,9.1,91.66,29.1,26.2,44.7
73398350,,1.33,4.9,7.5,1.0892946652345148,8.93,91.8,69.0,18.7,12.2
73398354,,4.1,3.95,1.7,1.0853022901040625,8.53,92.14,22.5,23.3,54.2
73398358,,3.2,3.45,2.05,1.0901599505125485,9.02,91.73,28.7,26.6,44.7
73398364,,1.5,4.4,5.2,1.086247086247086,8.62,92.06,61.4,20.9,17.7
73398368,,1.1,8.5,15.0,1.093404634581105,9.34,91.46,83.1,10.8,6.1
73398372,,1.14,8.0,11.5,1.0891495041952708,8.91,91.81,80.5,11.5,8.0
73398376,,2.6,3.2,2.55,1.0892722473604826,8.93,91.8,35.3,28.7,36.0
73399066,,1.56,4.2,4.8,1.0874542124542124,8.75,91.96,58.9,21.9,19.2
73399082,,2.05,3.4,3.2,1.094422525107604,9.44,91.37,44.6,26.9,28.6
73399086,,1.66,3.9,4.4,1.0860926222372007,8.61,92.07,55.5,23.6,20.9
73399090,,3.2,3.65,2.0,1.086472602739726,8.65,92.04,28.8,25.2,46.0
73399094,,1.94,3.5,3.5,1.0868924889543448,8.69,92.01,47.4,26.3,26.3
73399166,,5.8,4.8,1.42,1.0849724785494579,8.5,92.17,15.9,19.2,64.9
73399174,,4.5,4.5,1.54,1.0937950937950938,9.38,91.42,20.3,20.3,59.4
73399178,,5.6,4.6,1.44,1.0904071773636992,9.04,91.71,16.4,19.9,63.7
73399182,,2.3,3.5,2.7,1.0908672647803082,9.09,91.67,39.9,26.2,34.0
73399186,,5.0,4.1,1.56,1.0849280800500312,8.49,92.17,18.4,22.5,59.1
73399194,,1.98,3.4,3.5,1.0848824378236142,8.49,92.18,46.6,27.1,26.3
73399198,,1.47,4.1,6.0,1.0908412145345943,9.08,91.67,62.4,22.4,15.3
73399202,,1.56,3.95,5.2,1.0864978902953586,8.65,92.04,59.0,23.3,17.7
73399206,,1.64,3.65,4.8,1.092062033634035,9.21,91.57,55.8,25.1,19.1
73399210,,1.14,7.75,12.5,1.0862252405206565,8.62,92.06,80.8,11.9,7.4
73399214,,1.5,4.2,5.5,1.0865800865800865,8.66,92.03,61.4,21.9,16.7
