match,pari,cote,prob_ml_%,ev_%
Everton - Universidad de Concepción,Victoire Universidad de Concepción,4.0,37.6,50.26
Audax Italiano - Unión La Calera,Match Nul,3.35,31.6,5.72
Audax Italiano - Unión La Calera,Victoire Unión La Calera,3.7,37.6,38.99
Huachipato - Limache,Match Nul,3.45,31.6,8.87
FC Anyang - FC Séoul,Victoire FC Anyang,3.5,30.9,8.07
Jeonbuk Motors - Ulsan HD FC,Match Nul,3.4,31.6,7.3
Jeonbuk Motors - Ulsan HD FC,Victoire Ulsan HD FC,3.0,37.6,12.7
Gwangju FC - Incheon United,Victoire Gwangju FC,4.0,30.9,23.51
Iberia 1999 - Dinamo Tbilissi,Victoire Dinamo Tbilissi,2.8,37.6,5.18
Keflavik - IBV Vestmannaeyjar,Match Nul,3.8,31.6,19.92
IA Akranes - FH Hafnarfjordur,Match Nul,3.65,31.6,15.19
IA Akranes - FH Hafnarfjordur,Victoire FH Hafnarfjordur,2.75,37.6,3.3
KA Akureyri - KR Reykjavik,Victoire KA Akureyri,4.1,30.9,26.6
KA Akureyri - KR Reykjavik,Match Nul,5.0,31.6,57.79
Stjarnan - Þór Akureyri,Match Nul,5.0,31.6,57.79
Stjarnan - Þór Akureyri,Victoire Þór Akureyri,4.8,37.6,80.31
Breidablik Kopavogur - Fram Reykjavik,Match Nul,3.8,31.6,19.92
Levadia Tallinn - Trans Narva,Match Nul,7.0,31.6,120.9
Levadia Tallinn - Trans Narva,Victoire Trans Narva,10.0,37.6,275.65
Harju JK Laagri - Nomme Kalju,Victoire Harju JK Laagri,4.0,30.9,23.51
Harju JK Laagri - Nomme Kalju,Match Nul,4.0,31.6,26.23
Tammeka Tartu - Kuressaare,Match Nul,3.65,31.6,15.19
Tammeka Tartu - Kuressaare,Victoire Kuressaare,3.4,37.6,27.72
Paide Linnameeskond - Nomme United,Match Nul,4.2,31.6,32.54
Paide Linnameeskond - Nomme United,Victoire Nomme United,4.2,37.6,57.77
Parnu Vaprus - Flora Tallinn,Victoire Parnu Vaprus,4.8,30.9,48.21
Parnu Vaprus - Flora Tallinn,Match Nul,4.2,31.6,32.54
FK Auda - Tukums 2000,Match Nul,3.85,31.6,21.5
FK Auda - Tukums 2000,Victoire Tukums 2000,4.3,37.6,61.53
Super Nova - BFC Daugavpils,Match Nul,3.45,31.6,8.87
Ogre United - Jelgava,Victoire Ogre United,3.35,30.9,3.44
Ogre United - Jelgava,Match Nul,3.5,31.6,10.45
FK Liepaja - Grobinas SC,Match Nul,3.75,31.6,18.34
FK Liepaja - Grobinas SC,Victoire Grobinas SC,4.1,37.6,54.02
Rigas Futbola Skola - Riga FC,Match Nul,3.3,31.6,4.14
HFX Wanderers - Vancouver FC,Match Nul,3.4,31.6,7.3
Cavalry - Atlético Ottawa,Match Nul,4.1,31.6,29.39
Cavalry - Atlético Ottawa,Victoire Atlético Ottawa,5.0,37.6,87.83
Forge - Pacific,Match Nul,5.3,31.6,67.26
Forge - Pacific,Victoire Pacific,7.5,37.6,181.74
Inter Toronto - Supra du Québec,Match Nul,3.5,31.6,10.45
LDU Quito - Emelec,Match Nul,3.75,31.6,18.34
LDU Quito - Emelec,Victoire Emelec,5.1,37.6,91.58
Técnico Universitario - Guayaquil City,Victoire Guayaquil City,3.65,37.6,37.11
Leones - Independiente Del Valle,Victoire Leones,4.3,30.9,32.77
Leones - Independiente Del Valle,Match Nul,3.65,31.6,15.19
Deportivo Cuenca - Mushuc Runa,Victoire Mushuc Runa,3.0,37.6,12.7
Universidad Católica (EQU) - Manta FC,Match Nul,4.9,31.6,54.63
Universidad Católica (EQU) - Manta FC,Victoire Manta FC,7.75,37.6,191.13
Barcelona SC - Orense SC,Match Nul,3.45,31.6,8.87
Barcelona SC - Orense SC,Victoire Orense SC,4.4,37.6,65.29
Wuhan Three Towns - Tianjin Tigers,Match Nul,3.3,31.6,4.14
Chengdu Rongcheng - Shanghai Shenhua,Match Nul,3.85,31.6,21.5
Chengdu Rongcheng - Shanghai Shenhua,Victoire Shanghai Shenhua,3.15,37.6,18.33
Shenzhen Peng City - Zhejiang Professional,Match Nul,3.5,31.6,10.45
Beijing Guoan - Yunnan Yukun,Match Nul,4.8,31.6,51.48
Beijing Guoan - Yunnan Yukun,Victoire Yunnan Yukun,4.7,37.6,76.56
Qingdao West Coast - Shandong Taishan,Match Nul,3.45,31.6,8.87
Liaoning Tieren - Henan FC,Match Nul,3.45,31.6,8.87
Shanghai Port - Qingdao Hainiu,Match Nul,5.2,31.6,64.1
Shanghai Port - Qingdao Hainiu,Victoire Qingdao Hainiu,6.25,37.6,134.78
Borussia Dortmund - Bayern Munich,Victoire Borussia Dortmund,4.6,30.9,42.03
Borussia Dortmund - Bayern Munich,Match Nul,4.0,31.6,26.23
Botafogo - Club Sportivo Cienciano,Match Nul,8.5,31.6,168.24
Botafogo - Club Sportivo Cienciano,Victoire Club Sportivo Cienciano,13.0,37.6,388.35
Corinthians - Rosario Central,Victoire Rosario Central,4.0,37.6,50.26
LDU Quito - Mirassol,Match Nul,3.7,31.6,16.76
LDU Quito - Mirassol,Victoire Mirassol,5.3,37.6,99.1
Hegelmann - Banga,Victoire Hegelmann,3.35,30.9,3.44
Hegelmann - Banga,Match Nul,3.35,31.6,5.72
Sūduva - Panevėžys,Match Nul,4.0,31.6,26.23
Sūduva - Panevėžys,Victoire Panevėžys,5.8,37.6,117.88
Žalgiris - Džiugas,Match Nul,3.8,31.6,19.92
Žalgiris - Džiugas,Victoire Džiugas,4.3,37.6,61.53
TransINVEST - Šiauliai,Match Nul,4.0,31.6,26.23
TransINVEST - Šiauliai,Victoire Šiauliai,4.7,37.6,76.56
NK Rudeš - Lokomotiva Zagreb,Victoire NK Rudeš,5.2,30.9,60.56
NK Rudeš - Lokomotiva Zagreb,Match Nul,4.4,31.6,38.85
Hajduk Split - Osijek,Match Nul,3.35,31.6,5.72
Hajduk Split - Osijek,Victoire Osijek,3.6,37.6,35.23
Rijeka - Istra 1961,Match Nul,4.2,31.6,32.54
Rijeka - Istra 1961,Victoire Istra 1961,5.7,37.6,114.12
Dinamo Zagreb - NK Varazdin,Match Nul,4.9,31.6,54.63
Dinamo Zagreb - NK Varazdin,Victoire NK Varazdin,6.5,37.6,144.17
Aarhus GF - Odense,Match Nul,3.75,31.6,18.34
Aarhus GF - Odense,Victoire Odense,3.75,37.6,40.87
Sønderjyske - Nordsjælland,Victoire Sønderjyske,3.35,30.9,3.44
Sønderjyske - Nordsjælland,Match Nul,3.7,31.6,16.76
Midtjylland - Randers,Match Nul,4.2,31.6,32.54
Midtjylland - Randers,Victoire Randers,5.1,37.6,91.58
Viborg - Copenhague,Match Nul,3.5,31.6,10.45
Brøndby - Silkeborg,Match Nul,4.4,31.6,38.85
Brøndby - Silkeborg,Victoire Silkeborg,5.3,37.6,99.1
Atalanta Bergame - Sassuolo,Match Nul,4.4,31.6,38.85
Atalanta Bergame - Sassuolo,Victoire Sassuolo,5.5,37.6,106.61
Bologne - Lazio Rome,Victoire Lazio Rome,3.3,37.6,23.97
Frosinone - Juventus Turin,Victoire Frosinone,6.25,30.9,92.98
Frosinone - Juventus Turin,Match Nul,4.7,31.6,48.32
Genoa - Naples,Victoire Genoa,4.6,30.9,42.03
Genoa - Naples,Match Nul,3.3,31.6,4.14
Inter Milan - Monza,Match Nul,6.75,31.6,113.02
Inter Milan - Monza,Victoire Monza,11.5,37.6,332.0
Parme - Cagliari,Victoire Cagliari,2.95,37.6,10.82
AS Rome - Fiorentina,Match Nul,4.1,31.6,29.39
AS Rome - Fiorentina,Victoire Fiorentina,5.4,37.6,102.85
Torino - Milan AC,Victoire Torino,4.2,30.9,29.68
Torino - Milan AC,Match Nul,3.75,31.6,18.34
Udinese - Côme,Victoire Udinese,4.3,30.9,32.77
Udinese - Côme,Match Nul,3.6,31.6,13.61
Venise - Lecce,Victoire Lecce,3.2,37.6,20.21
SC Preussen Münster - Karlsruhe,Match Nul,3.45,31.6,8.87
Würzburger Kickers - FC Cologne,Victoire Würzburger Kickers,6.5,30.9,100.7
Würzburger Kickers - FC Cologne,Match Nul,5.1,31.6,60.94
VSG Altglienicke - Wolfsbourg,Victoire VSG Altglienicke,8.5,30.9,162.45
VSG Altglienicke - Wolfsbourg,Match Nul,6.0,31.6,89.35
FC Phonix Lubeck - Paderborn,Victoire FC Phonix Lubeck,14.5,30.9,347.72
FC Phonix Lubeck - Paderborn,Match Nul,7.75,31.6,144.57
Westfalia Rhynern - Dynamo Dresden,Victoire Westfalia Rhynern,13.5,30.9,316.84
Westfalia Rhynern - Dynamo Dresden,Match Nul,8.0,31.6,152.46
SV Waldhof Mannheim - Kaiserslautern,Match Nul,3.8,31.6,19.92
Munich 1860 - Holstein Kiel,Victoire Munich 1860,4.8,30.9,48.21
Munich 1860 - Holstein Kiel,Match Nul,4.4,31.6,38.85
Bahlinger SC - Magdebourg,Victoire Bahlinger SC,16.0,30.9,394.03
Bahlinger SC - Magdebourg,Match Nul,10.0,31.6,215.58
FC Carl Zeiss Iéna - Darmstadt,Victoire FC Carl Zeiss Iéna,4.5,30.9,38.95
FC Carl Zeiss Iéna - Darmstadt,Match Nul,4.1,31.6,29.39
Hansa Rostock - VfB Stuttgart,Victoire Hansa Rostock,9.0,30.9,177.89
Hansa Rostock - VfB Stuttgart,Match Nul,6.0,31.6,89.35
SC Verl - Hambourg,Victoire SC Verl,4.4,30.9,35.86
SC Verl - Hambourg,Match Nul,4.4,31.6,38.85
MSV Duisbourg - SV Elversberg,Match Nul,3.75,31.6,18.34
Viktoria Cologne - Nuremberg,Victoire Viktoria Cologne,3.95,30.9,21.96
Viktoria Cologne - Nuremberg,Match Nul,3.9,31.6,23.08
1. FC Saarbrücken - Hertha Berlin,Match Nul,3.45,31.6,8.87
VFB 1921 Krieschow - Mayence,Victoire VFB 1921 Krieschow,15.0,30.9,363.15
VFB 1921 Krieschow - Mayence,Match Nul,14.0,31.6,341.81
Energie Cottbus - Augsbourg,Victoire Energie Cottbus,4.3,30.9,32.77
Energie Cottbus - Augsbourg,Match Nul,4.2,31.6,32.54
Hallescher FC - Schalke 04,Victoire Hallescher FC,6.5,30.9,100.7
Hallescher FC - Schalke 04,Match Nul,5.0,31.6,57.79
SV Wehen Wiesbaden - Bayer Leverkusen,Victoire SV Wehen Wiesbaden,11.5,30.9,255.08
SV Wehen Wiesbaden - Bayer Leverkusen,Match Nul,7.75,31.6,144.57
